,Tokens,Scores,,,,,,,,,,,,,,,,
0,'',-1540,,,,,,,,,,,,,,,,
1,'',-1760,,,,,,,,,,,,,,,,
2,'',-206.8,,,,,,,,,,,,,,,,
3,'',-193.2,,,,,,,,,,,,,,,,
4,'',-220,,,,,,,,,,,,,,,,
5,'',-220,,,,,,,,,,,,,,,,
6,'',-420,,,,,,,,,,,,,,,,
7,'',140,,,,,,,,,,,,,,,,
8,'',140,,,,,,,,,,,,,,,,
9,'',-500,,,,,,,,,,,,,,,,
10,'',-340,,,,,,,,,,,,,,,,
11,'',-313.2,,,,,,,,,,,,,,,,
12,'',-100,,,,,,,,,,,,,,,,
13,'',40,,,,,,,,,,,,,,,,
14,'',-268,,,,,,,,,,,,,,,,
15,'',-44,,,,,,,,,,,,,,,,
16,'',-244,,,,,,,,,,,,,,,,
17,'',-326.6,,,,,,,,,,,,,,,,
18,'',-220,,,,,,,,,,,,,,,,
19,'',-73.4,,,,,,,,,,,,,,,,
20,'',-460,,,,,,,,,,,,,,,,
21,'',-400,,,,,,,,,,,,,,,,
22,'',-140,,,,,,,,,,,,,,,,
23,'',-193.4,,,,,,,,,,,,,,,,
24,'',0,,,,,,,,,,,,,,,,
25,'',166.9,,,,,,,,,,,,,,,,
26,'',-300,,,,,,,,,,,,,,,,
27,'',-60,,,,,,,,,,,,,,,,
28,'',-20,,,,,,,,,,,,,,,,
29,'',-291,,,,,,,,,,,,,,,,
30,'',-171.2,,,,,,,,,,,,,,,,
31,'',-100,,,,,,,,,,,,,,,,
32,'',-60,,,,,,,,,,,,,,,,
33,'',-208.8,,,,,,,,,,,,,,,,
34,'',100,,,,,,,,,,,,,,,,
35,'',60,,,,,,,,,,,,,,,,
36,'',-60,,,,,,,,,,,,,,,,
37,'',-300,,,,,,,,,,,,,,,,
38,'',-300,,,,,,,,,,,,,,,,
39,'',-153.2,,,,,,,,,,,,,,,,
40,'-',-5583.6,,,,,,,,,,,,,,,,
41,'-',-10626,,,,,,,,,,,,,,,,
42,'-',-27300,,,,,,,,,,,,,,,,
43,'-',4480,,,,,,,,,,,,,,,,
44,'-',-20500,,,,,,,,,,,,,,,,
45,'-',-7203.6,,,,,,,,,,,,,,,,
46,'-',-5900,,,,,,,,,,,,,,,,
47,'-',-9380,,,,,,,,,,,,,,,,
48,'-',-7564,,,,,,,,,,,,,,,,
49,'-',-12540,,,,,,,,,,,,,,,,
50,'-',-32000,,,,,,,,,,,,,,,,
51,'-',0,,,,,,,,,,,,,,,,
52,'-',-2400,,,,,,,,,,,,,,,,
53,'-',-6334.4,,,,,,,,,,,,,,,,
54,'-',-6300,,,,,,,,,,,,,,,,
55,'-',-540,,,,,,,,,,,,,,,,
56,'-',-25500,,,,,,,,,,,,,,,,
57,'-',-25500,,,,,,,,,,,,,,,,
58,'-',-4136.4,,,,,,,,,,,,,,,,
59,"'""Engaging'",-291,,,,,,,,,,,,,,,,
60,"'""London''s'",-291,,,,,,,,,,,,,,,,
61,'$330m.',-300,,,,,,,,,,,,,,,,
62,'$3M',-60,,,,,,,,,,,,,,,,
63,'$4bn',-220,,,,,,,,,,,,,,,,
64,'$50K',-60,,,,,,,,,,,,,,,,
65,'$50M',-153.2,,,,,,,,,,,,,,,,
66,'&',-386.4,,,,,,,,,,,,,,,,
67,'&',-1540,,,,,,,,,,,,,,,,
68,'&',13860,,,,,,,,,,,,,,,,
69,'&',280,,,,,,,,,,,,,,,,
70,'&',-1500,,,,,,,,,,,,,,,,
71,'&',-2720,,,,,,,,,,,,,,,,
72,'&',-626.4,,,,,,,,,,,,,,,,
73,'&',-600,,,,,,,,,,,,,,,,
74,'&',80,,,,,,,,,,,,,,,,
75,'&',-1220,,,,,,,,,,,,,,,,
76,'&',-653.2,,,,,,,,,,,,,,,,
77,'&',-440.4,,,,,,,,,,,,,,,,
78,'&',-2300,,,,,,,,,,,,,,,,
79,'&',-3200,,,,,,,,,,,,,,,,
80,'&',-700,,,,,,,,,,,,,,,,
81,'&',0,,,,,,,,,,,,,,,,
82,'&',-120,,,,,,,,,,,,,,,,
83,'&',-2328,,,,,,,,,,,,,,,,
84,'&',-513.6,,,,,,,,,,,,,,,,
85,'&',300,,,,,,,,,,,,,,,,
86,'&',300,,,,,,,,,,,,,,,,
87,'&',-240,,,,,,,,,,,,,,,,
88,'&',-900,,,,,,,,,,,,,,,,
89,'&',-900,,,,,,,,,,,,,,,,
90,"'&,'",140,,,,,,,,,,,,,,,,
91,'(',-14300,,,,,,,,,,,,,,,,
92,"'($256k,'",-340,,,,,,,,,,,,,,,,
93,'(&',140,,,,,,,,,,,,,,,,
94,'(~20',-460,,,,,,,,,,,,,,,,
95,'(~250',-460,,,,,,,,,,,,,,,,
96,'(~300',-460,,,,,,,,,,,,,,,,
97,'(~Long 1',-220,,,,,,,,,,,,,,,,
98,'(~Long 7',-220,,,,,,,,,,,,,,,,
99,'(>',-400,,,,,,,,,,,,,,,,
100,'(>40k',-244,,,,,,,,,,,,,,,,
101,'(0.5',60,,,,,,,,,,,,,,,,
102,'(01/2009-01/2013);',-100,,,,,,,,,,,,,,,,
103,"'(03/11/2012),'",-193.2,,,,,,,,,,,,,,,,
104,'(08002513));',166.9,,,,,,,,,,,,,,,,
105,'(1)',-244,,,,,,,,,,,,,,,,
106,'(1)',-193.4,,,,,,,,,,,,,,,,
107,"'(1),'",-193.4,,,,,,,,,,,,,,,,
108,'(10',-153.2,,,,,,,,,,,,,,,,
109,"'(10/03/2011),'",-500,,,,,,,,,,,,,,,,
110,'(11',-153.2,,,,,,,,,,,,,,,,
111,'(12',-153.2,,,,,,,,,,,,,,,,
112,'(120',-460,,,,,,,,,,,,,,,,
113,'(13',-153.2,,,,,,,,,,,,,,,,
114,'(1-3)',-420,,,,,,,,,,,,,,,,
115,'(13/03/12)',-500,,,,,,,,,,,,,,,,
116,'(13/03/2102).',-500,,,,,,,,,,,,,,,,
117,'(15',100,,,,,,,,,,,,,,,,
118,'(150',0,,,,,,,,,,,,,,,,
119,'(16',-291,,,,,,,,,,,,,,,,
120,'(16',100,,,,,,,,,,,,,,,,
121,'(16',-153.2,,,,,,,,,,,,,,,,
122,'(18',-153.2,,,,,,,,,,,,,,,,
123,"'(1990),'",-500,,,,,,,,,,,,,,,,
124,"'(1994),'",-500,,,,,,,,,,,,,,,,
125,"'(1998),'",-500,,,,,,,,,,,,,,,,
126,'(2',-220,,,,,,,,,,,,,,,,
127,'(2',-208.8,,,,,,,,,,,,,,,,
128,'(2)',-244,,,,,,,,,,,,,,,,
129,'(2)',166.9,,,,,,,,,,,,,,,,
130,"'(2),'",-193.4,,,,,,,,,,,,,,,,
131,"'(2),'",-171.2,,,,,,,,,,,,,,,,
132,'(2).',-193.4,,,,,,,,,,,,,,,,
133,'(20/20',-220,,,,,,,,,,,,,,,,
134,"'(2000),'",-500,,,,,,,,,,,,,,,,
135,"'(2001),'",-500,,,,,,,,,,,,,,,,
136,"'(2001-2004,'",-220,,,,,,,,,,,,,,,,
137,"'(2001Huo 2,'",-20,,,,,,,,,,,,,,,,
138,"'(2002),'",-500,,,,,,,,,,,,,,,,
139,"'(2003-2010,'",-220,,,,,,,,,,,,,,,,
140,'(2004-2009)',-500,,,,,,,,,,,,,,,,
141,'(2005',-300,,,,,,,,,,,,,,,,
142,'(2005',-300,,,,,,,,,,,,,,,,
143,"'(2005),'",-500,,,,,,,,,,,,,,,,
144,'(2006)',-44,,,,,,,,,,,,,,,,
145,"'(2006),'",-500,,,,,,,,,,,,,,,,
146,'(2006-2009).',-300,,,,,,,,,,,,,,,,
147,'(2006-2009).',-300,,,,,,,,,,,,,,,,
148,'(2007-09)',-400,,,,,,,,,,,,,,,,
149,'(2007Huo 012)',-206.8,,,,,,,,,,,,,,,,
150,'(2008)',140,,,,,,,,,,,,,,,,
151,"'(2008),'",-313.2,,,,,,,,,,,,,,,,
152,"'(2008),'",-20,,,,,,,,,,,,,,,,
153,'(2008):',140,,,,,,,,,,,,,,,,
154,"'(2008,'",-400,,,,,,,,,,,,,,,,
155,'(2008-2011)',-300,,,,,,,,,,,,,,,,
156,'(2008-2011)',-300,,,,,,,,,,,,,,,,
157,'(2008-2013)',100,,,,,,,,,,,,,,,,
158,'(2008Huo 011)',-340,,,,,,,,,,,,,,,,
159,'(2009-',-220,,,,,,,,,,,,,,,,
160,'(2009)',-460,,,,,,,,,,,,,,,,
161,'(2009)',-300,,,,,,,,,,,,,,,,
162,'(2009)',-300,,,,,,,,,,,,,,,,
163,'(2009);',-340,,,,,,,,,,,,,,,,
164,"'(2009,'",-400,,,,,,,,,,,,,,,,
165,'(2009-11)',166.9,,,,,,,,,,,,,,,,
166,'(2009-13',-400,,,,,,,,,,,,,,,,
167,'(2009-2012)',-220,,,,,,,,,,,,,,,,
168,'(2009-2012)',-220,,,,,,,,,,,,,,,,
169,'(2009-2019)',-420,,,,,,,,,,,,,,,,
170,'(2010)',-206.8,,,,,,,,,,,,,,,,
171,'(2010)',140,,,,,,,,,,,,,,,,
172,'(2010)',-400,,,,,,,,,,,,,,,,
173,'(2010)',-300,,,,,,,,,,,,,,,,
174,'(2010)',-300,,,,,,,,,,,,,,,,
175,"'(2010),'",-244,,,,,,,,,,,,,,,,
176,'(2010);',-460,,,,,,,,,,,,,,,,
177,"'(2010-12),'",-400,,,,,,,,,,,,,,,,
178,'(2010-2012)',-400,,,,,,,,,,,,,,,,
179,'(2010-2012);',-300,,,,,,,,,,,,,,,,
180,'(2010-2012);',-300,,,,,,,,,,,,,,,,
181,"'(2010-2013),'",-244,,,,,,,,,,,,,,,,
182,'(2010-2015)',-300,,,,,,,,,,,,,,,,
183,'(2010-2015)',-300,,,,,,,,,,,,,,,,
184,'(2010Huo 015)',-340,,,,,,,,,,,,,,,,
185,'(2011-',-400,,,,,,,,,,,,,,,,
186,'(2011)).',60,,,,,,,,,,,,,,,,
187,"'(2011),'",-20,,,,,,,,,,,,,,,,
188,'(2011):',140,,,,,,,,,,,,,,,,
189,'(2011-12)',140,,,,,,,,,,,,,,,,
190,'(2011-13)',-73.4,,,,,,,,,,,,,,,,
191,'(2011-2012).',-300,,,,,,,,,,,,,,,,
192,'(2011-2012).',-300,,,,,,,,,,,,,,,,
193,'(2012',-100,,,,,,,,,,,,,,,,
194,'(2012',-208.8,,,,,,,,,,,,,,,,
195,'(2012)',-400,,,,,,,,,,,,,,,,
196,'(2012)',166.9,,,,,,,,,,,,,,,,
197,'(2012)',-153.2,,,,,,,,,,,,,,,,
198,'(2012).',-500,,,,,,,,,,,,,,,,
199,'(2012).',-460,,,,,,,,,,,,,,,,
200,'(2012):',140,,,,,,,,,,,,,,,,
201,"'(2012,'",-220,,,,,,,,,,,,,,,,
202,'(2012-13);',-73.4,,,,,,,,,,,,,,,,
203,'(2012-2013);',-220,,,,,,,,,,,,,,,,
204,'(2012-2014)',-300,,,,,,,,,,,,,,,,
205,'(2012-2014)',-300,,,,,,,,,,,,,,,,
206,'(2013)',-400,,,,,,,,,,,,,,,,
207,'(2013)',-20,,,,,,,,,,,,,,,,
208,'(2013).',-220,,,,,,,,,,,,,,,,
209,'(2013).',0,,,,,,,,,,,,,,,,
210,'(2013).',-208.8,,,,,,,,,,,,,,,,
211,'(2013):',140,,,,,,,,,,,,,,,,
212,'(2013);',-220,,,,,,,,,,,,,,,,
213,'(2013-15)',-400,,,,,,,,,,,,,,,,
214,'(2013-17)',-400,,,,,,,,,,,,,,,,
215,'(2013-2018)',-300,,,,,,,,,,,,,,,,
216,'(2013-2018)',-300,,,,,,,,,,,,,,,,
217,'(2013Huo 014)',-206.8,,,,,,,,,,,,,,,,
218,'(2013Huo 015)',-340,,,,,,,,,,,,,,,,
219,'(2013Huo 017)',-206.8,,,,,,,,,,,,,,,,
220,'(2014-17)',-20,,,,,,,,,,,,,,,,
221,'(2014-21)',-400,,,,,,,,,,,,,,,,
222,'(2014-21).',-400,,,,,,,,,,,,,,,,
223,'(2015)',-420,,,,,,,,,,,,,,,,
224,'(23',-153.2,,,,,,,,,,,,,,,,
225,'(230',40,,,,,,,,,,,,,,,,
226,'(27',-460,,,,,,,,,,,,,,,,
227,'(27',100,,,,,,,,,,,,,,,,
228,"'(28/02/2012),'",-500,,,,,,,,,,,,,,,,
229,'(29',-460,,,,,,,,,,,,,,,,
230,'(3',-220,,,,,,,,,,,,,,,,
231,'(3)',-244,,,,,,,,,,,,,,,,
232,'(3)',166.9,,,,,,,,,,,,,,,,
233,"'(3),'",-193.4,,,,,,,,,,,,,,,,
234,'(39',-208.8,,,,,,,,,,,,,,,,
235,'(4',-220,,,,,,,,,,,,,,,,
236,'(4)',-244,,,,,,,,,,,,,,,,
237,'(4)',-171.2,,,,,,,,,,,,,,,,
238,'(40%',-268,,,,,,,,,,,,,,,,
239,'(40%)',-171.2,,,,,,,,,,,,,,,,
240,'(5',140,,,,,,,,,,,,,,,,
241,'(5',-153.2,,,,,,,,,,,,,,,,
242,'(5)',-244,,,,,,,,,,,,,,,,
243,"'(5),'",-193.4,,,,,,,,,,,,,,,,
244,'(50',0,,,,,,,,,,,,,,,,
245,'(50%',140,,,,,,,,,,,,,,,,
246,'(5000',-60,,,,,,,,,,,,,,,,
247,'(59.2',-400,,,,,,,,,,,,,,,,
248,'(6',-73.4,,,,,,,,,,,,,,,,
249,'(60%',-220,,,,,,,,,,,,,,,,
250,'(60%',140,,,,,,,,,,,,,,,,
251,'(64-fold;',-340,,,,,,,,,,,,,,,,
252,'(7).',40,,,,,,,,,,,,,,,,
253,"'(720113,'",166.9,,,,,,,,,,,,,,,,
254,'(8',-460,,,,,,,,,,,,,,,,
255,'(8',-153.2,,,,,,,,,,,,,,,,
256,'(8.0',166.9,,,,,,,,,,,,,,,,
257,'(9).',-420,,,,,,,,,,,,,,,,
258,'(90%',140,,,,,,,,,,,,,,,,
259,'(a',-193.2,,,,,,,,,,,,,,,,
260,'(a',140,,,,,,,,,,,,,,,,
261,'(a',0,,,,,,,,,,,,,,,,
262,'(a',-208.8,,,,,,,,,,,,,,,,
263,'(a',-300,,,,,,,,,,,,,,,,
264,'(a',-300,,,,,,,,,,,,,,,,
265,'(a)',-268,,,,,,,,,,,,,,,,
266,'(a)',-60,,,,,,,,,,,,,,,,
267,'(A)',-291,,,,,,,,,,,,,,,,
268,'(a)',-300,,,,,,,,,,,,,,,,
269,'(a)',-300,,,,,,,,,,,,,,,,
270,'(A4B',60,,,,,,,,,,,,,,,,
271,"'(A4B),'",60,,,,,,,,,,,,,,,,
272,"'(Aachen),'",-60,,,,,,,,,,,,,,,,
273,'(ABB-Switzerland',-100,,,,,,,,,,,,,,,,
274,'(Aberdeen)',-193.4,,,,,,,,,,,,,,,,
275,'(Academia',-300,,,,,,,,,,,,,,,,
276,'(Academia',-300,,,,,,,,,,,,,,,,
277,'(Academic',-220,,,,,,,,,,,,,,,,
278,'(academic',-171.2,,,,,,,,,,,,,,,,
279,'(acquired',-60,,,,,,,,,,,,,,,,
280,"'(ADs),'",-171.2,,,,,,,,,,,,,,,,
281,'(advice',-171.2,,,,,,,,,,,,,,,,
282,'(AE)',-291,,,,,,,,,,,,,,,,
283,"'(Agilent,'",-193.2,,,,,,,,,,,,,,,,
284,"'(Agilent,'",-208.8,,,,,,,,,,,,,,,,
285,"'(AIPT),'",-153.2,,,,,,,,,,,,,,,,
286,"'(air,'",140,,,,,,,,,,,,,,,,
287,"'(airframes,'",-20,,,,,,,,,,,,,,,,
288,'(AIS)',-60,,,,,,,,,,,,,,,,
289,"'(Aldermaston),'",-313.2,,,,,,,,,,,,,,,,
290,'(ALERTS)Huo ',-400,,,,,,,,,,,,,,,,
291,'(alongside',-193.2,,,,,,,,,,,,,,,,
