,preprocessed_Tokens,Scores
0,engaging,-291
1,londons,-291
2,330m,-300
3,3m,-60
4,4bn,-220
5,50k,-60
6,50m,-1532
7,&,-3864
8,&,-1540
9,&,13860
10,&,280
11,&,-1500
12,&,-2720
13,&,-6264
14,&,-600
15,&,80
16,&,-1220
17,&,-6532
18,&,-4404
19,&,-2300
20,&,-3200
21,&,-700
22,&,0
23,&,-120
24,&,-2328
25,&,-5136
26,&,300
27,&,300
28,&,-240
29,&,-900
30,&,-900
31,&,140
32,256k,-340
33,&,140
34,~20,-460
35,~250,-460
36,~300,-460
37,1,-220
38,7,-220
39,>,-400
40,40k,-244
41,5,60
42,;,-100
43,03/11/2012,-1932
44,;,1669
45,-1,-244
46,-1,-1934
47,1,-1934
48,10,-1532
49,10/03/2011,-500
50,11,-1532
51,12,-1532
52,120,-460
53,13,-1532
54,1月3日,-420
55,2013/3/12,-500
56,13/03/2102,-500
57,15,100
58,150,0
59,16,-291
60,16,100
61,16,-1532
62,18,-1532
63,1990,-500
64,1994,-500
65,1998,-500
66,2,-220
67,2,-2088
68,-2,-244
69,-2,1669
70,2,-1934
71,2,-1712
72,2,-1934
73,20/20,-220
74,2000,-500
75,2001,-500
76,2001-2004,-220
77,2,-20
78,2002,-500
79,2003-2010,-220
80,2004-2009,-500
81,2005,-300
82,2005,-300
83,2005,-500
84,-2006,-44
85,2006,-500
86,2006-2009,-300
87,2006-2009,-300
88,sep-07,-400
89,012,-2068
90,-2008,140
91,2008,-3132
92,2008,-20
93,2008:00:00,140
94,2008,-400
95,2008-2011,-300
96,2008-2011,-300
97,2008-2013,100
98,011,-340
99,2009-,-220
100,-2009,-460
101,-2009,-300
102,-2009,-300
103,;,-340
104,2009,-400
105,nov-09,1669
106,2009-13,-400
107,2009-2012,-220
108,2009-2012,-220
109,2009-2019,-420
110,-2010,-2068
111,-2010,140
112,-2010,-400
113,-2010,-300
114,-2010,-300
115,2010,-244
116,;,-460
117,dec-10,-400
118,2010-2012,-400
119,;,-300
120,;,-300
121,2010-2013,-244
122,2010-2015,-300
123,2010-2015,-300
124,015,-340
125,2011-,-400
126,2011,60
127,2011,-20
128,2011:00:00,140
129,dec-11,140
130,2011-13,-734
131,2011-2012,-300
132,2011-2012,-300
133,2012,-100
134,2012,-2088
135,-2012,-400
136,-2012,1669
137,-2012,-1532
138,2012,-500
139,2012,-460
140,2012:00:00,140
141,2012,-220
142,;,-734
143,;,-220
144,2012-2014,-300
145,2012-2014,-300
146,-2013,-400
147,-2013,-20
148,2013,-220
149,2013,0
150,2013,-2088
151,2013:00:00,140
152,;,-220
153,2013-15,-400
154,2013-17,-400
155,2013-2018,-300
156,2013-2018,-300
157,014,-2068
158,015,-340
159,017,-2068
160,2014-17,-20
161,2014-21,-400
162,2014-21,-400
163,-2015,-420
164,23,-1532
165,230,40
166,27,-460
167,27,100
168,28/02/2012,-500
169,29,-460
170,3,-220
171,-3,-244
172,-3,1669
173,3,-1934
174,39,-2088
175,4,-220
176,-4,-244
177,-4,-1712
178,%,-268
179,%,-1712
180,5,140
181,5,-1532
182,-5,-244
183,5,-1934
184,50,0
185,%,140
186,5000,-60
187,592,-400
188,6,-734
189,%,-220
190,%,140
191,;,-340
192,7,40
193,720113,1669
194,8,-460
195,8,-1532
196,8,1669
197,9,-420
198,%,140
199,a,-1932
200,a,140
201,a,0
202,a,-2088
203,a,-300
204,a,-300
205,a,-268
206,a,-60
207,a,-291
208,a,-300
209,a,-300
210,a4b,60
211,a4b,60
212,aachen,-60
213,abb-switzerland,-100
214,aberdeen,-1934
215,academia,-300
216,academia,-300
217,academic,-220
218,academic,-1712
219,acquired,-60
220,ads,-1712
221,advice,-1712
222,ae,-291
223,agilent,-1932
224,agilent,-2088
225,aipt,-1532
226,air,140
227,airframes,-20
228,ais,-60
229,aldermaston,-3132
230,alertshuo,-400
231,alongside,-1932
232,an,-2068
233,an,-2088
234,and,-420
235,and,-400
236,and,-1934
237,and,1669
238,announced,-420
239,ansto,-20
240,;,-291
241,antireflective,140
242,application,-20
243,arm,-100
244,arm,-1932
245,around,-20
246,arshad,-500
247,as,-244
248,at,-140
249,australia,-20
250,auxetic,-420
251,average,-734
252,avs,140
253,awe,-3266
254,b,-220
255,b,140
256,b,-268
257,b,-60
258,b,-291
259,b,-300
260,b,-300
261,b,140
262,b,-220
263,b,-220
264,b,-100
265,b1,100
266,baes,-1712
267,barber,-300
268,barnes,40
269,bastiaansen,-300
270,baxendale,-300
271,bb/g018065,-340
272,bbc/sky,-2088
273,bdm,-220
274,bdms,-340
275,bdo,-300
276,becer,-300
277,becerra,-244
278,believed,140
279,benefiting,-734
280,berkeley,-60
281,bett,-244
282,binions,-300
283,binions,-300
284,biometric,-60
285,biopattern,-44
286,bite,-1932
287,blades,-420
288,blondel,-220
289,bmi,-400
290,bold,-291
291,bond,140
292,both,-2068
293,both,-420
294,both,-60
295,bowen,-220
296,bp-icam,-100
297,bpu,-1532
