policing,-220
space-weather,-220
antenna,-220
kt,-220
so,-220
space,-220
!,-934
%,-19931
&,-29228
+,-3200
-,-291
-1,-2178
-2,1425
-2006,-44
-2008,140
-2009,-1060
-2010,-2928
-2012,-263
-2013,-420
-2015,-420
-3,1425
-4,-1956
-5,-244
-roadmap,-1712
-tial,-500
/,18227
//bitly/17kbtst,-244
//bitly/18krtjg,-244
//bitly/hcovsp,-244
//bitly/ho0wcc,-244
//bitly/j5fkcp,-244
//bitly/p1hrc,-244
//cnmpagreacuk/,-500
//eprintssotonacuk,-460
//glyndwrticketsolvecom/shows/upcoming/tags/talks,60
//newsbbccouk/1/hi/7413828stm,40
//www2greacuk/about/schools/engineering/research/groups/mwcrl,-500
//www3imperialacuk/corporatepartnerships/whoweworkwith,-2088
//wwwesoorg,60
//wwwfoodhydrocolloidstrustorguk/,60
//wwwfp7-,60
//wwwglyndwracuk/en/ourresearch/researchcentres/universityresearchcentreforma,60
//wwwinnovateukorg/-/tinsley-bridge-rises-to-the-occasion,1669
//wwwlightexpresssotonacuk/,-460
//wwwnclacuk/sustainability/,-60
//wwwnuclear-graphiteorguk/,-3266
//wwwukesforg/scholarship-schemethe,40
//wwwunlocnet/,-1532
//wwwwrexhamsfcom/,60
/a8,-300
007,-340
01,-2068
01/10/2011-30/09/2015,-100
01/2008-07/2013,-100
011,-340
012,-2408
013,-340
014,-2068
015,-680
017,-2068
01:00,-4694
02/03/2012,-340
02:00,-4294
02m,-440
03/11/2012,-1932
03:00,-4294
03m,-220
04:00,-704
04m,-220
05,-1932
05fte,1669
05m,-220
05m/year,-100
1,-432354
1-3,-840
10,-18246
10+,-1968
10-year,-60
10/03/2011,-500
10/10/2002,-340
100,-8117
100+,-1932
1000,-1499
10000,-291
1002,60
1003,60
100k,140
101016/jjnucmat201308019,-734
107,-220
10k,-291
10m,140
10million,-460
11,-10135
114,-734
1140,-220
115k,-220
116,140
1164,-60
118,-60
12,-6911
120,-460
1200,-734
120k,-291
121,40
122,100
12205738,140
122m,-244
124688,-600
125,-1934
126913141620,140
128,-60
13,-11688
13/03/2102,-500
130k,1669
13123120,140
13175534,140
135m,-244
136,-594
139,40
13:00,-1472
13a,100
13b,-3028
13c,-734
14,-2532
140,-1948
1406,-244
14m,60
15,-3072
150,100
15m,-734
16,-2177
16/09/2006,-340
